Field_ID;observer;Sample_ID;Specimen;horizon;identification;gsmf_taxa;moisture;latitude;longitude;date;vegetation;comment
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;gastropoda;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;gastropoda;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;gastropoda;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;gastropoda;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;gastropoda;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;gastropoda;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;earthworm;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;earthworm;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;earthworm;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;earthworm;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;earthworm;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;earthworm;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;earthworm;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;earthworm;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;earthworm;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;earthworm;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;earthworm;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;earthworm;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;earthworm;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;earthworm;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;earthworm;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;earthworm;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;earthworm;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;earthworm;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;earthworm;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;earthworm;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;earthworm;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;earthworm;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;earthworm;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;earthworm;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;earthworm;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;earthworm;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;earthworm;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;earthworm;NA;NA;NA;08/04/2026;forest;
Dourdan-Forest;Alex;Dourdan-TSBF-1;NA;NA;NA;earthworm;NA;NA;NA;08/04/2026;forest;
