Field_ID;observer;Sample_ID;Specimen;horizon;identification;gsmf_taxa;moisture;latitude;longitude;date;vegetation;comment
B5;Liisa;C;1;surface;True bug;hemiptera;27,1;60.820352;23.493931;03/06/2025;crop;
B5;Liisa;C;2;monolith;Earthworm;earthworm;27,1;60.820352;23.493931;03/06/2025;crop;
B5;Liisa;C;3;monolith;Beetle/Carabidae;coleoptera;27,1;60.820352;23.493931;03/06/2025;crop;
B5;Liisa;C;4;monolith;Beetle;coleoptera;27,1;60.820352;23.493931;03/06/2025;crop;
B5;Liisa;C;5;monolith;Earthworm;earthworm;27,1;60.820352;23.493931;03/06/2025;crop;
B5;Liisa;C;6;monolith;Earthworm;earthworm;27,1;60.820352;23.493931;03/06/2025;crop;
B5;Liisa;C;7;monolith;Earthworm;earthworm;27,1;60.820352;23.493931;03/06/2025;crop;
B5;Liisa;C;8;monolith;Earthworm;earthworm;27,1;60.820352;23.493931;03/06/2025;crop;
B5;Liisa;C;9;monolith;Earthworm;earthworm;27,1;60.820352;23.493931;03/06/2025;crop;
B5;Liisa;C;10;monolith;Insect larva;unidentified_larvae;27,1;60.820352;23.493931;03/06/2025;crop;
B5;Liisa;C;11;monolith;Earthworm;earthworm;27,1;60.820352;23.493931;03/06/2025;crop;
B5;Liisa;C;12;monolith;Earthworm;earthworm;27,1;60.820352;23.493931;03/06/2025;crop;
B5;Liisa;C;13;monolith;Spider;araneae;27,1;60.820352;23.493931;03/06/2025;crop;
B5;Liisa;C;14;monolith;Beetle/Carabidae;coleoptera;27,1;60.820352;23.493931;03/06/2025;crop;
B5;Liisa;C;15;monolith;Beetle/Carabidae;coleoptera;27,1;60.820352;23.493931;03/06/2025;crop;
B5;Ida;B;1;surface;Beetle;coleoptera;29,7;60.820545;23.493442;03/06/2025;crop;
B5;Ida;B;2;surface;Beetle;coleoptera;29,7;60.820545;23.493442;03/06/2025;crop;
B5;Ida;B;3;monolith;Beetle;coleoptera;29,7;60.820545;23.493442;03/06/2025;crop;
B5;Ida;B;4;monolith;Earthworm;earthworm;29,7;60.820545;23.493442;03/06/2025;crop;
B5;Ida;B;5;monolith;Beetle;coleoptera;29,7;60.820545;23.493442;03/06/2025;crop;
B5;Ida;B;6;monolith;Earthworm;earthworm;29,7;60.820545;23.493442;03/06/2025;crop;
B5;Ida;B;7;monolith;Beetle;coleoptera;29,7;60.820545;23.493442;03/06/2025;crop;
B5;Ida;B;8;monolith;Springtail;collembola;29,7;60.820545;23.493442;03/06/2025;crop;
B5;Riikka;A;1;surface;Earthworm;earthworm;34,65;60.820699;23.493197;03/06/2025;crop;
B5;Riikka;A;2;surface;Spider;araneae;34,65;60.820699;23.493197;03/06/2025;crop;
B5;Riikka;A;3;surface;Spider;araneae;34,65;60.820699;23.493197;03/06/2025;crop;
B5;Riikka;A;4;monolith;Beetle/Staphylinid;coleoptera;34,65;60.820699;23.493197;03/06/2025;crop;
B5;Riikka;A;5;monolith;Earthworm;earthworm;34,65;60.820699;23.493197;03/06/2025;crop;
B5;Riikka;A;6;monolith;Earthworm;earthworm;34,65;60.820699;23.493197;03/06/2025;crop;
B7;Liisa;C;1;monolith;Earthworm;earthworm;27,15;60.818391;23.489505;03/06/2025;crop;rain break
B7;Liisa;C;2;monolith;Earthworm;earthworm;27,15;60.818391;23.489505;03/06/2025;crop;rain break
B7;Liisa;C;9;monolith;Beetle/Carabidae;coleoptera;27,15;60.818391;23.489505;03/06/2025;crop;rain break
B7;Liisa;C;10;monolith;earthworm;earthworm;27,15;60.818391;23.489505;03/06/2025;crop;rain break
B7;Liisa;C;13;monolith;Insect larva;unidentified_larvae;27,15;60.818391;23.489505;03/06/2025;crop;rain break
B7;Ida;B;1;surface;Beetle;coleoptera;29,6;60.818419;23.489150;03/06/2025;crop;rain break
B7;Ida;B;18;monolith;Earthworm;earthworm;29,6;60.818419;23.489150;03/06/2025;crop;rain break
B7;Ida;B;19;monolith;Beetle;coleoptera;29,6;60.818419;23.489150;03/06/2025;crop;rain break
B7;Ida;B;22;monolith;beetle;coleoptera;29,6;60.818419;23.489150;03/06/2025;crop;rain break
B7;Riikka;A;1;surface;Beetle;coleoptera;25,1;60.81857;23.488730;03/06/2025;crop;rain break
B7;Riikka;A;2;monolith;Beetle/Staphylinidae;coleoptera;25,1;60.81857;23.488730;03/06/2025;crop;rain break
B7;Riikka;A;3;monolith;Earthworm;earthworm;25,1;60.81857;23.488730;03/06/2025;crop;rain break
B9;Liisa;C;1;surface;Beetle;coleoptera;34,95;60.812200;23.473702;03/06/2025;crop;rain break
B9;Liisa;C;3;monolith;Earthworm;earthworm;34,95;60.812200;23.473702;03/06/2025;crop;
B9;Ida;B;1;surface;Beetle/Carabidae;coleoptera;36,5;60.812161;23.474038;03/06/2025;crop;
B9;Ida;B;2;surface;Spider;araneae;36,5;60.812161;23.474038;03/06/2025;crop;
B9;Ida;B;3;surface;Beetle/Staphylinidae;coleoptera;36,5;60.812161;23.474038;03/06/2025;crop;
B9;Ida;B;4;surface;Beetle/Staphylinidae;coleoptera;36,5;60.812161;23.474038;03/06/2025;crop;
B9;Ida;B;5;surface;Insect larva;unidentified_larvae;36,5;60.812161;23.474038;03/06/2025;crop;
B9;Ida;B;6;surface;Insect larva;unidentified_larvae;36,5;60.812161;23.474038;03/06/2025;crop;
B9;Ida;B;7;monolith;Spider;araneae;36,5;60.812161;23.474038;03/06/2025;crop;
B9;Ida;B;8;monolith;Fly larva;diptera_larvae;36,5;60.812161;23.474038;03/06/2025;crop;
B9;Ida;B;9;monolith;Spider;araneae;36,5;60.812161;23.474038;03/06/2025;crop;
B9;Ida;B;14;surface;Earthworm;earthworm;36,5;60.812161;23.474038;03/06/2025;crop;
B9;Ida;B;18;monolith;Beetle/Staphylinidae;coleoptera;36,5;60.812161;23.474038;03/06/2025;crop;
B9;Ida;B;19;monolith;Beetle/Staphylinidae;coleoptera;36,5;60.812161;23.474038;03/06/2025;crop;
B9;Ida;B;20;monolith;Beetle/Staphylinidae;coleoptera;36,5;60.812161;23.474038;03/06/2025;crop;
B9;Riikka;A;1;surface;Beetle;coleoptera;32,15;60.812168;23.474493;03/06/2025;crop;
R20;Ida;B;1;surface;Beetle/Chrysomelidae/Phyllotreta;coleoptera;31,2;60.811895;23.475411;04/06/2025;crop;
R20;Ida;B;2;surface;Spider;araneae;31,2;60.811895;23.475411;04/06/2025;crop;
R20;Ida;B;4;monolith;Beetle/Staphylinidae;coleoptera;31,2;60.811895;23.475411;04/06/2025;crop;
R20;Ida;B;5;monolith;Spider;araneae;31,2;60.811895;23.475411;04/06/2025;crop;
R20;Ida;B;6;monolith;Beetle/Staphylinidae;coleoptera;31,2;60.811895;23.475411;04/06/2025;crop;
R15;Liisa;C;5;monolith;Earthworm;earthworm;27,35;60.801635;23.469256;04/06/2025;crop;
R15;Liisa;C;6;monolith;beetle;coleoptera;27,35;60.801635;23.469256;04/06/2025;crop;
R15;Ida;B;1;surface;Beetle/Staphylinidae;coleoptera;27,05;60.8011748;23.469153;04/06/2025;crop;
R15;Ida;B;2;surface;Beetle/Staphylinidae;coleoptera;27,05;60.8011748;23.469153;04/06/2025;crop;
R15;Ida;B;3;surface;Beetle/Staphylinidae;coleoptera;27,05;60.8011748;23.469153;04/06/2025;crop;
R15;Ida;B;4;surface;Beetle/Chrysomelidae/Phyllotreta;coleoptera;27,05;60.8011748;23.469153;04/06/2025;crop;
R15;Ida;B;5;monolith;Earthworm;earthworm;27,05;60.8011748;23.469153;04/06/2025;crop;
R15;Ida;B;6;monolith;Earthworm;earthworm;27,05;60.8011748;23.469153;04/06/2025;crop;
R15;Ida;B;7;monolith;Beetle/Staphylinidae;coleoptera;27,05;60.8011748;23.469153;04/06/2025;crop;
R15;Ida;B;8;monolith;Beetle;coleoptera;27,05;60.8011748;23.469153;04/06/2025;crop;
R17;Liisa;C;1;surface;Beetle/Cantharidae;coleoptera;41,2;60.805534;23.467563;04/06/2025;crop;
R17;Liisa;C;2;monolith;Earthworm;earthworm;41,2;60.805534;23.467563;04/06/2025;crop;
R17;Liisa;C;3;monolith;Spider;araneae;41,2;60.805534;23.467563;04/06/2025;crop;
R17;Liisa;C;4;monolith;Earthworm;earthworm;41,2;60.805534;23.467563;04/06/2025;crop;
R17;Liisa;C;5;monolith;Earthworm;earthworm;41,2;60.805534;23.467563;04/06/2025;crop;
R17;Liisa;C;6;monolith;Earthworm;earthworm;41,2;60.805534;23.467563;04/06/2025;crop;
R17;Liisa;C;7;monolith;Beetle/Cantharidae;coleoptera;41,2;60.805534;23.467563;04/06/2025;crop;
R17;Liisa;C;8;monolith;Earthworm;earthworm;41,2;60.805534;23.467563;04/06/2025;crop;
R17;Liisa;C;9;monolith;Earthworm;earthworm;41,2;60.805534;23.467563;04/06/2025;crop;
R17;Liisa;C;10;monolith;Insect larva;unidentified_larvae;41,2;60.805534;23.467563;04/06/2025;crop;
R17;Liisa;C;11;monolith;Insect larva;unidentified_larvae;41,2;60.805534;23.467563;04/06/2025;crop;
R17;Liisa;C;12;monolith;Insect larva;unidentified_larvae;41,2;60.805534;23.467563;04/06/2025;crop;
R17;Ida;B;1;surface;Spider;araneae;30,25;60.805568;23.467704;04/06/2025;crop;
R17;Ida;B;2;surface;Prostigmata;acari;30,25;60.805568;23.467704;04/06/2025;crop;
R17;Ida;B;3;monolith;Earthworm;earthworm;30,25;60.805568;23.467704;04/06/2025;crop;
R17;Ida;B;4;monolith;Earthworm;earthworm;30,25;60.805568;23.467704;04/06/2025;crop;
R17;Ida;B;5;monolith;Earthworm;earthworm;30,25;60.805568;23.467704;04/06/2025;crop;
R17;Ida;B;6;monolith;Earthworm;earthworm;30,25;60.805568;23.467704;04/06/2025;crop;
R17;Ida;B;7;monolith;Insect larva;unidentified_larvae;30,25;60.805568;23.467704;04/06/2025;crop;
R17;Ida;B;8;monolith;Insect larva;unidentified_larvae;30,25;60.805568;23.467704;04/06/2025;crop;
R17;Ida;B;10;monolith;Earthworm;earthworm;30,25;60.805568;23.467704;04/06/2025;crop;
R17;Ida;B;11;monolith;Insect larva;unidentified_larvae;30,25;60.805568;23.467704;04/06/2025;crop;
R17;Riikka;A;1;monolith;Earthworm;earthworm;28,55;60.805634;23.467912;04/06/2025;crop;
R17;Riikka;A;2;monolith;Earthworm;earthworm;28,55;60.805634;23.467912;04/06/2025;crop;
